,Year,coder1-encodings,Consistency,X,Y
0,2020,Surface/Volume,0,0,0
1,2020,Surface/Volume,0,0,0
2,2020,Surface/Volume,0,2,0
3,2020,Surface/Volume,0,4,0
4,2020,Surface/Volume,1,6,0
5,2020,Surface/Volume,1,8,0
6,2020,Surface/Volume,1,10,0
7,2020,Surface/Volume,1,12,0
8,2020,Surface/Volume,1,14,0
9,2020,Surface/Volume,1,16,0
10,2020,Surface/Volume,1,18,0
11,2020,Surface/Volume,1,20,0
12,2020,Surface/Volume,1,22,0
13,2020,Surface/Volume,1,24,0
14,2020,Surface/Volume,1,26,0
15,2020,Surface/Volume,1,28,0
16,2020,Surface/Volume,1,30,0
17,2020,Surface/Volume,1,32,0
18,2020,Surface/Volume,1,34,0
19,2020,Surface/Volume,1,36,0
20,2020,Surface/Volume,1,38,0
21,2020,Surface/Volume,1,40,0
22,2020,Surface/Volume,1,42,0
23,2020,Surface/Volume,1,44,0
24,2020,Surface/Volume,1,46,0
25,2020,Surface/Volume,1,48,0
26,2020,Surface/Volume,1,50,0
27,2020,Surface/Volume,1,52,0
28,2020,Surface/Volume,1,54,0
29,2020,Surface/Volume,1,56,0
30,2020,Surface/Volume,1,58,0
31,2020,Surface/Volume,1,60,0
32,2020,Surface/Volume,1,62,0
33,2020,Surface/Volume,1,64,0
34,2020,Surface/Volume,1,0,1
35,2020,Surface/Volume,1,2,1
36,2020,Surface/Volume,1,4,1
37,2020,Surface/Volume,1,6,1
38,2020,Surface/Volume,1,8,1
39,2020,Surface/Volume,1,10,1
40,2020,Surface/Volume,1,12,1
41,2020,Surface/Volume,1,14,1
42,2020,Surface/Volume,1,16,1
43,2020,Surface/Volume,1,18,1
44,2020,Surface/Volume,1,20,1
45,2020,Surface/Volume,1,22,1
46,2020,Surface/Volume,1,24,1
47,2020,Surface/Volume,1,26,1
48,2020,Surface/Volume,1,28,1
49,2020,Surface/Volume,1,30,1
50,2020,Surface/Volume,1,32,1
51,2020,Surface/Volume,1,34,1
52,2020,Surface/Volume,1,36,1
53,2020,Surface/Volume,1,38,1
54,2020,Surface/Volume,1,40,1
55,2020,Surface/Volume,1,42,1
56,2020,Surface/Volume,1,44,1
57,2020,Surface/Volume,1,46,1
58,2020,Surface/Volume,1,48,1
59,2020,Surface/Volume,1,50,1
60,2020,Surface/Volume,1,52,1
61,2020,Surface/Volume,1,54,1
62,2020,Surface/Volume,1,56,1
63,2020,Surface/Volume,1,58,1
64,2020,Surface/Volume,1,60,1
65,2020,Surface/Volume,1,62,1
66,2020,Surface/Volume,1,64,1
67,2015,Surface/Volume,0,0,2
68,2015,Surface/Volume,0,2,2
69,2015,Surface/Volume,0,4,2
70,2015,Surface/Volume,0,6,2
71,2015,Surface/Volume,0,8,2
72,2015,Surface/Volume,0,10,2
73,2015,Surface/Volume,0,12,2
74,2015,Surface/Volume,1,14,2
75,2015,Surface/Volume,1,16,2
76,2015,Surface/Volume,1,18,2
77,2015,Surface/Volume,1,20,2
78,2015,Surface/Volume,1,22,2
79,2015,Surface/Volume,1,24,2
80,2015,Surface/Volume,1,26,2
81,2015,Surface/Volume,1,28,2
82,2015,Surface/Volume,1,30,2
83,2015,Surface/Volume,1,32,2
84,2015,Surface/Volume,1,34,2
85,2015,Surface/Volume,1,36,2
86,2015,Surface/Volume,1,38,2
87,2015,Surface/Volume,1,40,2
88,2015,Surface/Volume,1,42,2
89,2015,Surface/Volume,1,44,2
90,2015,Surface/Volume,1,46,2
91,2015,Surface/Volume,1,48,2
92,2015,Surface/Volume,1,50,2
93,2015,Surface/Volume,1,52,2
94,2015,Surface/Volume,1,54,2
95,2015,Surface/Volume,1,56,2
96,2015,Surface/Volume,1,58,2
97,2015,Surface/Volume,1,60,2
98,2015,Surface/Volume,1,62,2
99,2015,Surface/Volume,1,64,2
100,2015,Surface/Volume,1,0,3
101,2015,Surface/Volume,1,2,3
102,2015,Surface/Volume,1,4,3
103,2015,Surface/Volume,1,6,3
104,2015,Surface/Volume,1,8,3
105,2015,Surface/Volume,1,10,3
106,2015,Surface/Volume,1,12,3
107,2015,Surface/Volume,1,14,3
108,2015,Surface/Volume,1,16,3
109,2015,Surface/Volume,1,18,3
110,2015,Surface/Volume,1,20,3
111,2015,Surface/Volume,1,22,3
112,2015,Surface/Volume,1,24,3
113,2015,Surface/Volume,1,26,3
114,2015,Surface/Volume,1,28,3
115,2015,Surface/Volume,1,30,3
116,2015,Surface/Volume,1,32,3
117,2015,Surface/Volume,1,34,3
118,2015,Surface/Volume,1,36,3
119,2015,Surface/Volume,1,38,3
120,2015,Surface/Volume,1,40,3
121,2015,Surface/Volume,1,42,3
122,2015,Surface/Volume,1,44,3
123,2015,Surface/Volume,1,46,3
124,2015,Surface/Volume,1,48,3
125,2015,Surface/Volume,1,50,3
126,2015,Surface/Volume,1,52,3
127,2015,Surface/Volume,1,54,3
128,2015,Surface/Volume,1,56,3
129,2015,Surface/Volume,1,58,3
130,2015,Surface/Volume,1,60,3
131,2015,Surface/Volume,1,62,3
132,2015,Surface/Volume,1,64,3
133,2015,Surface/Volume,1,0,4
134,2015,Surface/Volume,1,2,4
135,2015,Surface/Volume,1,4,4
136,2015,Surface/Volume,1,6,4
137,2010,Surface/Volume,0,8,4
138,2010,Surface/Volume,0,10,4
139,2010,Surface/Volume,0,12,4
140,2010,Surface/Volume,0,14,4
141,2010,Surface/Volume,1,16,4
142,2010,Surface/Volume,1,18,4
143,2010,Surface/Volume,1,20,4
144,2010,Surface/Volume,1,22,4
145,2010,Surface/Volume,1,24,4
