,Year,coder1-encodings,Consistency,X,Y
0,1990,Area,1,0,0
1,1990,Area,1,1,0
2,1995,Area,1,2,0
3,1995,Area,1,3,0
4,2000,Area,0,4,0
5,2000,Area,0,5,0
6,2000,Area,0,6,0
7,2000,Area,1,7,0
8,2000,Area,1,8,0
9,2000,Area,1,9,0
10,2000,Area,1,10,0
11,2000,Area,1,11,0
12,2005,Area,0,12,0
13,2005,Area,0,13,0
14,2005,Area,0,14,0
15,2005,Area,0,15,0
16,2005,Area,0,16,0
17,2005,Area,0,17,0
18,2005,Area,0,18,0
19,2005,Area,0,19,0
20,2005,Area,0,20,0
21,2005,Area,0,21,0
22,2005,Area,0,22,0
23,2005,Area,0,23,0
24,2005,Area,0,24,0
25,2005,Area,0,25,0
26,2005,Area,0,26,0
27,2005,Area,1,27,0
28,2005,Area,1,28,0
29,2005,Area,1,29,0
30,2005,Area,1,30,0
31,2005,Area,1,31,0
32,2005,Area,1,32,0
33,2005,Area,1,33,0
34,2005,Area,1,34,0
35,2005,Area,1,35,0
36,2005,Area,1,36,0
37,2005,Area,1,37,0
38,2005,Area,1,38,0
39,2005,Area,1,39,0
40,2005,Area,1,40,0
41,2005,Area,1,41,0
42,2010,Area,1,42,0
43,2010,Area,1,43,0
44,2010,Area,1,44,0
45,2010,Area,1,45,0
46,2010,Area,1,46,0
47,2010,Area,1,47,0
48,2010,Area,1,48,0
49,2010,Area,1,49,0
50,2010,Area,1,0,1
51,2010,Area,1,1,1
52,2010,Area,1,2,1
53,2010,Area,1,3,1
54,2010,Area,1,4,1
55,2010,Area,1,5,1
56,2015,Area,0,6,1
57,2015,Area,0,7,1
58,2015,Area,0,8,1
59,2015,Area,0,9,1
60,2015,Area,0,10,1
61,2015,Area,0,11,1
62,2015,Area,0,12,1
63,2015,Area,1,13,1
64,2015,Area,1,14,1
65,2015,Area,1,15,1
66,2015,Area,1,16,1
67,2015,Area,1,17,1
68,2015,Area,1,18,1
69,2015,Area,1,19,1
70,2015,Area,1,20,1
71,2015,Area,1,21,1
72,2015,Area,1,22,1
73,2015,Area,1,23,1
74,2015,Area,1,24,1
75,2015,Area,1,25,1
76,2015,Area,1,26,1
77,2015,Area,1,27,1
78,2015,Area,1,28,1
