,image_id,CFixationPointXImage,CFixationPointYImage,GazeEventDuration
1769,C33,72968.95456,27887.87081,267
1770,C33,59184.35851,37399.51121,267
1771,C33,30644.4202,45487.6408,317
1772,C33,113157.8473,12229.25193,250
1773,C33,76981.37219,34034.8493,200
1774,C33,91866.14728,22905.58299,283
1775,C33,117170.2649,7376.374183,267
1776,C33,33103.64391,40311.23786,217
1777,C33,17636.4211,39599.48246,108
1778,C33,24561.07734,72469.6411,158
1779,C33,20419.22688,41864.15874,133
1780,C33,36274.74816,32870.15864,292
1781,C33,36404.18099,22193.82759,333
1782,C33,43522.98647,19346.80597,242
1783,C33,45335.04604,17729.18005,375
1784,C33,35174.56914,21482.07218,350
1785,C33,29997.25606,26140.83482,83
1786,C33,26890.86822,35781.88529,275
1787,C33,24108.06244,45099.41057,217
1788,C33,19513.19709,52087.55454,417
1789,C33,21066.39101,65352.08706,200
1790,C33,32585.9126,76481.35337,342
1791,C33,47017.67279,60499.20931,225
1792,C33,58407.76155,61987.42515,192
1793,C33,69797.85031,72857.87132,350
1794,C33,87012.41627,73051.98643,425
1795,C33,95037.25153,44905.29546,325
1796,C33,103644.5345,50987.56891,225
1797,C33,85912.23724,42122.97889,308
1798,C33,104874.1464,33776.02915,108
1799,C33,87206.56551,36493.64069,108
1800,C33,105715.4597,34099.55434,225
1801,C33,111086.9221,27499.64059,200
1802,C33,98596.65427,21223.25204,183
1803,C33,81835.1032,13652.76274,233
1804,C33,69474.26824,16499.78436,242
1805,C33,72062.92478,39534.77742,325
1806,C33,58278.32872,23034.99306,308
1807,C33,62743.76125,33128.97879,217
1808,C33,50641.79194,20123.26641,292
1809,C33,46629.37431,18570.34553,308
1810,C33,44687.88191,17729.18005,250
1811,C33,43587.70288,28599.62622,150
1812,C33,66950.32812,52799.30994,142
1813,C33,76528.3573,40311.23786,200
1814,C33,66432.59681,57587.48266,142
1815,C33,110957.4892,25623.19453,208
1816,C33,94454.80381,31446.64783,275
1817,C33,72710.08891,35976.0004,200
1818,C33,65138.26854,38758.31698,83
1819,C33,65202.98496,37334.80617,192
1820,C33,57695.881,46134.69116,258
1821,C33,61384.71656,46652.33146,117
1822,C33,92125.01293,30476.07228,375
1823,C33,50835.94118,36881.87091,225
1824,C33,45335.04604,41734.74867,542
1825,C33,47636.6733,40746.01976,450
1826,C33,66181.58102,33354.00853,350
1827,C33,55654.37777,39182.25479,283
1828,C33,48386.96424,41597.9095,183
4877,C33,67468.05942,44387.65517,317
4878,C33,46758.80714,53058.13009,175
4879,C33,30191.4053,59528.63376,108
4880,C33,18218.86882,43352.37458,225
4881,C33,17118.6898,38240.67669,375
4882,C33,11553.07824,39211.25224,258
4883,C33,14982.26916,39458.68909,183
4884,C33,16153.15686,40680.7156,342
4885,C33,17974.80405,40488.99697,233
4886,C33,13331.46132,39672.81483,292
4887,C33,20000.5776,42208.17385,150
4888,C33,22144.33876,42672.9717,275
4889,C33,15068.67756,39797.19229,425
4890,C33,9611.705688,39459.88733,192
4891,C33,8564.498243,39423.04141,175
4892,C33,14627.1678,39713.31539,125
