image_id,username,imageZoomR
C1,P1,1.413
C1,P10,3.637472972972973
C1,P11,0.4446666666666667
C1,P2,3.6976756756756757
C1,P3,1.587421052631579
C1,P4,1.1288571428571428
C1,P5,1.8727692307692305
C1,P6,0.44275
C1,P7,1.5212
C1,P8,0.483
C1,P9,0.9685161290322581
C10,P1,5.506703910614525
C10,P10,3.7246923076923077
C10,P11,6.7273037974683545
C10,P2,9.925013215859032
C10,P3,4.963435897435898
C10,P4,4.060126315789473
C10,P5,3.534132231404959
C10,P6,2.8487768115942034
C10,P7,5.0550625
C10,P8,1.05968
C10,P9,8.354347712418301
C11,P1,2.292842105263158
C11,P10,4.8600703125
C11,P11,4.7390725806451615
C11,P2,8.4634
C11,P3,2.5143333333333335
C11,P4,4.922864864864865
C11,P5,2.371886178861789
C11,P6,1.5712244897959182
C11,P7,2.344466666666667
C11,P8,1.8995094339622642
C11,P9,2.400956375838926
C12,P1,2.2940842105263157
C12,P10,5.505264317180616
C12,P11,4.092944444444445
C12,P2,3.8920223463687154
C12,P3,2.780735426008969
C12,P4,2.8511735159817353
C12,P5,6.497198511166253
C12,P6,1.2211052631578947
C12,P7,2.419643835616438
C12,P8,1.0319384615384615
C12,P9,3.3047640449438207
C13,P1,3.1612658227848103
C13,P10,5.198724867724867
C13,P11,7.431825581395349
C13,P2,5.895548872180451
C13,P3,2.0225242718446603
C13,P4,3.5983059360730594
C13,P5,3.648573770491803
C13,P6,1.4071923076923079
C13,P7,1.2054256410153847
C13,P8,1.8456923076923077
C13,P9,2.0853305439330545
C14,P1,2.0724444444444448
C14,P10,3.373050314465409
C14,P11,3.9686206896551726
C14,P2,6.309682926829268
C14,P3,2.8184913793103448
C14,P4,4.457030651340997
C14,P5,3.8481262135922334
C14,P6,1.3326736842105262
C14,P7,2.7280814814814813
C14,P8,2.2512649572649575
C14,P9,6.630354289551111
C15,P1,2.1761052631578948
C15,P10,4.377978947368422
C15,P11,4.599804878048781
C15,P2,4.648666666666667
C15,P3,1.952065573770492
C15,P4,7.2454098360655745
C15,P5,3.9791428571428575
C15,P6,1.9632093023255814
C15,P7,4.1006347517340425
C15,P8,9.910527607361963
C15,P9,4.655530303030303
C16,P1,9.656104046242776
C16,P10,3.479606936416185
C16,P11,7.770670588235295
C16,P2,8.831745454545453
C16,P3,6.501617021276596
C16,P4,9.735807560137456
C16,P5,3.9749876543209877
C16,P6,2.02984
C16,P7,0.536
C16,P8,2.951921568627451
C16,P9,3.560411214953271
C17,P1,2.163473684210526
C17,P10,2.9436369636963695
C17,P11,3.988112994350282
C17,P2,2.2987162162162162
C17,P3,1.8326075949367087
C17,P4,6.123089514066496
C17,P5,2.869076923076923
C17,P6,1.1692340425531915
C17,P7,1.6492
C17,P8,0.8929850746268656
C17,P9,1.525294964028777
C18,P1,3.028492957746479
C18,P10,4.572968085106383
C18,P11,0.5154545454545455
C18,P2,1.5935813953488371
C18,P3,4.211724137931035
C18,P4,10.267377049180329
C18,P5,1.5092727272727273
C18,P6,1.779979166666667
C18,P7,2.2634545454545454
C18,P8,1.0605806451612902
C18,P9,2.3713125
C19,P1,0.38422222222222224
C19,P10,0.8577808219178082
C19,P11,0.36100000000000004
