,image_id,FixationPointX,FixationPointY
0,C48,1195,495
1,C48,983,571
2,C48,950,488
3,C48,893,578
4,C48,754,711
5,C48,779,809
6,C48,757,703
7,C48,704,556
8,C48,386,476
9,C48,898,452
10,C48,700,545
11,C48,540,359
12,C48,735,809
13,C48,842,667
14,C48,1697,621
15,C48,1234,1033
16,C48,800,294
17,C48,563,229
18,C48,992,142
19,C48,761,418
20,C48,997,463
21,C48,947,524
22,C48,1949,181
23,C48,1913,139
24,C48,974,611
25,C48,587,786
26,C48,752,926
27,C48,1361,850
28,C48,754,926
29,C48,809,1071
30,C48,539,832
31,C48,392,732
32,C48,469,613
33,C48,1387,500
34,C48,1672,450
35,C48,1546,541
36,C48,1812,469
37,C48,1392,528
38,C48,1241,599
39,C48,1117,776
40,C48,1151,829
41,C48,970,881
42,C48,680,792
43,C48,885,242
44,C48,1363,232
45,C48,1202,290
46,C48,997,394
47,C48,516,174
48,C48,489,871
49,C48,390,993
50,C48,669,1119
51,C48,1008,566
52,C48,943,254
53,C48,860,287
54,C48,1265,671
55,C48,1407,1030
56,C48,1496,1151
57,C48,1375,1144
58,C48,1254,886
59,C48,1189,942
60,C48,831,834
61,C48,877,751
62,C48,1343,486
63,C48,1314,881
64,C48,1270,1180
65,C48,1527,430
66,C48,1294,485
67,C48,1525,283
68,C48,2055,266
17637,C48,1192,685
17638,C48,1014,694
17639,C48,960,646
17640,C48,805,685
17641,C48,688,801
17642,C48,1078,1036
17643,C48,1253,1114
17644,C48,1284,1000
17645,C48,1037,987
17646,C48,1032,943
17647,C48,1066,955
17648,C48,1072,937
17649,C48,1025,937
17650,C48,605,774
17651,C48,1341,1218
17652,C48,1464,1290
17653,C48,517,763
17654,C48,534,737
17655,C48,630,757
17656,C48,637,504
17657,C48,698,387
17658,C48,722,502
17659,C48,799,549
17660,C48,928,547
17661,C48,1014,635
17662,C48,1138,837
17663,C48,1141,864
17664,C48,727,565
17665,C48,452,941
17666,C48,323,1052
17667,C48,1015,677
17668,C48,1079,675
17669,C48,886,721
17670,C48,983,851
17671,C48,1760,670
17672,C48,1646,673
17673,C48,1040,1097
17674,C48,1025,957
17675,C48,1134,888
17676,C48,1136,787
17677,C48,959,836
17678,C48,460,480
17679,C48,409,248
17680,C48,797,915
17681,C48,860,596
17682,C48,488,668
17683,C48,1772,818
17684,C48,1749,701
17685,C48,1907,703
17686,C48,1787,1197
17687,C48,1279,900
17688,C48,1017,725
17689,C48,1125,871
17690,C48,1094,853
17691,C48,587,750
17692,C48,369,726
17693,C48,1706,941
17694,C48,1890,641
17695,C48,1932,639
17696,C48,1241,879
17697,C48,1220,803
17698,C48,1309,958
17699,C48,828,714
17700,C48,832,656
17701,C48,1282,918
17702,C48,1320,956
17703,C48,1675,628
17704,C48,1351,715
17705,C48,1422,819
17706,C48,1399,646
17707,C48,1523,703
17708,C48,1369,644
17709,C48,1115,619
17710,C48,996,627
17711,C48,894,966
17712,C48,706,1020
17713,C48,809,920
17714,C48,821,796
17715,C48,976,737
17716,C48,1208,633
17717,C48,1408,645
17718,C48,1446,713
17719,C48,1474,732
17720,C48,1524,772
17721,C48,1488,834
17722,C48,1236,845
17723,C48,1230,771
17724,C48,1298,783
17725,C48,1307,752
17726,C48,1076,740
17727,C48,972,693
17728,C48,1198,758
17729,C48,1576,682
17730,C48,1466,678
17731,C48,1516,795
17732,C48,1555,781
17733,C48,1871,741
17734,C48,1923,738
17735,C48,1309,724
17736,C48,1445,645
17737,C48,1694,903
17738,C48,1564,829
17739,C48,1324,796
17740,C48,1184,579
17741,C48,1007,578
17742,C48,1174,986
17743,C48,1791,1049
17744,C48,1865,1070
17745,C48,1731,1069
17746,C48,1000,678
17747,C48,841,625
17748,C48,924,608
17749,C48,759,761
17750,C48,1555,792
17751,C48,1318,559
17752,C48,1156,578
17753,C48,1221,466
17754,C48,1299,671
17755,C48,2064,558
17756,C48,1431,958
20956,C48,1053,479
20957,C48,1257,652
20958,C48,1263,698
20959,C48,1395,613
20960,C48,1249,658
20961,C48,1140,664
20962,C48,1626,481
20963,C48,1455,470
20964,C48,1714,503
20965,C48,1552,539
20966,C48,1242,560
20967,C48,881,557
20968,C48,1244,548
20969,C48,685,542
20970,C48,697,572
20971,C48,634,643
20972,C48,863,707
20973,C48,896,357
20974,C48,805,336
20975,C48,680,1171
20976,C48,1141,625
20977,C48,1197,929
20978,C48,1448,1007
20979,C48,567,760
20980,C48,569,742
20981,C48,540,381
20982,C48,708,466
20983,C48,946,596
20984,C48,1086,656
20985,C48,565,744
20986,C48,348,776
20987,C48,414,778
20988,C48,336,705
20989,C48,177,895
20990,C48,552,420
20991,C48,544,480
20992,C48,565,474
20993,C48,927,330
20994,C48,716,576
20995,C48,1214,383
20996,C48,1207,449
20997,C48,1162,605
20998,C48,786,892
20999,C48,755,906
21000,C48,556,898
21001,C48,1099,658
21002,C48,975,742
21003,C48,680,643
21004,C48,921,724
21005,C48,925,706
21006,C48,836,741
21007,C48,781,696
21008,C48,853,748
21009,C48,866,761
21010,C48,1223,384
21011,C48,984,297
21012,C48,792,876
21013,C48,913,849
21014,C48,943,836
21015,C48,1034,917
21016,C48,689,701
21017,C48,691,706
21018,C48,761,757
21019,C48,997,861
21020,C48,1224,844
21021,C48,1347,1006
21022,C48,1269,890
21023,C48,529,578
21024,C48,566,605
21025,C48,570,566
21026,C48,818,553
21027,C48,801,546
21028,C48,519,696
21029,C48,936,416
21030,C48,743,502
21031,C48,758,535
21032,C48,996,804
21033,C48,948,842
21034,C48,838,852
21035,C48,599,796
21036,C48,439,833
21037,C48,825,940
21038,C48,865,894
21039,C48,752,888
21040,C48,776,898
21041,C48,727,931
21042,C48,878,437
21043,C48,886,436
21044,C48,868,451
21045,C48,1247,87
21046,C48,1071,697
21047,C48,914,882
21048,C48,832,807
21049,C48,597,863
21050,C48,704,523
21051,C48,788,489
21052,C48,491,600
21053,C48,431,582
21054,C48,478,637
21055,C48,691,822
21056,C48,756,1136
21057,C48,927,431
21058,C48,911,550
21059,C48,889,511
21060,C48,1337,819
21061,C48,914,394
21062,C48,916,434
21063,C48,855,457
21064,C48,759,351
21065,C48,716,397
21066,C48,870,496
21067,C48,881,375
21068,C48,832,378
21069,C48,833,384
21070,C48,536,361
21071,C48,538,391
21072,C48,519,377
21073,C48,821,427
21074,C48,742,598
21075,C48,927,408
21076,C48,875,316
21077,C48,876,347
21078,C48,843,775
21079,C48,757,820
21080,C48,733,616
21081,C48,735,609
21082,C48,2085,234
21083,C48,884,821
21084,C48,1009,792
21085,C48,835,1042
21086,C48,1064,1006
21087,C48,963,682
21088,C48,1629,490
21089,C48,1618,520
21090,C48,1597,552
21091,C48,1070,575
21092,C48,1132,795
21093,C48,1373,442
21094,C48,1351,450
21095,C48,1377,475
21096,C48,1094,810
21097,C48,1416,695
21098,C48,1484,829
21099,C48,1383,748
21100,C48,1378,757
21101,C48,1325,611
21102,C48,1460,873
21103,C48,947,822
21104,C48,519,641
21105,C48,274,555
21106,C48,1160,598
21107,C48,784,646
21108,C48,1123,990
21109,C48,671,649
21110,C48,746,588
21111,C48,688,536
21112,C48,531,532
21113,C48,1620,616
21114,C48,1852,355
21115,C48,1016,801
21116,C48,1052,672
21117,C48,1062,647
21118,C48,846,567
33558,C48,949,651
33559,C48,1194,625
33560,C48,763,652
33561,C48,828,814
33562,C48,628,475
33563,C48,677,364
33564,C48,671,528
33565,C48,940,624
33566,C48,1477,707
33567,C48,1313,680
33568,C48,1485,744
33569,C48,1369,764
33570,C48,816,992
33571,C48,867,896
33572,C48,554,926
33573,C48,421,744
33574,C48,1113,848
33575,C48,768,1048
33576,C48,725,1120
33577,C48,1436,817
33578,C48,1577,843
33579,C48,1743,919
33580,C48,1810,909
33581,C48,1726,387
33582,C48,1211,499
33583,C48,1256,899
33584,C48,1142,1135
33585,C48,1033,837
33586,C48,1111,708
33587,C48,784,758
33588,C48,1303,787
33589,C48,1436,916
33590,C48,1420,904
33591,C48,817,681
33592,C48,920,668
33593,C48,936,725
33594,C48,799,692
33595,C48,726,726
33596,C48,600,676
33597,C48,1230,500
33598,C48,1373,680
33599,C48,1404,690
33600,C48,1474,628
33601,C48,1295,677
33602,C48,1213,613
33603,C48,1349,644
33604,C48,1462,690
33605,C48,1095,718
33606,C48,1245,633
33607,C48,903,636
33608,C48,870,636
33609,C48,683,747
33610,C48,927,697
33611,C48,665,598
33612,C48,879,644
33613,C48,955,915
33614,C48,1033,1076
33615,C48,949,1077
33616,C48,941,997
33617,C48,851,660
33618,C48,1017,641
33619,C48,1178,636
33620,C48,1277,672
33621,C48,914,835
33622,C48,1364,801
33623,C48,1480,773
33624,C48,1167,805
33625,C48,768,805
33626,C48,1517,888
33627,C48,1175,476
33628,C48,1148,540
33629,C48,990,513
33630,C48,1046,315
33631,C48,1072,444
33632,C48,1114,513
33633,C48,1125,554
33634,C48,1079,541
33635,C48,1042,612
33636,C48,1075,630
33637,C48,1033,643
33638,C48,990,677
33639,C48,952,677
33640,C48,667,636
33641,C48,940,676
33642,C48,1006,696
33643,C48,1051,708
33644,C48,1087,753
33645,C48,831,770
33646,C48,875,700
33647,C48,754,947
33648,C48,923,671
33649,C48,946,642
33650,C48,913,662
33651,C48,865,696
33652,C48,1022,705
33653,C48,605,572
33654,C48,608,562
33655,C48,508,479
33656,C48,662,511
33657,C48,652,636
33658,C48,649,655
33659,C48,1334,583
33660,C48,1326,537
33661,C48,1281,531
33662,C48,886,768
33663,C48,1016,716
33664,C48,1565,970
33665,C48,1510,813
33666,C48,1585,808
33667,C48,1989,812
33668,C48,970,684
33669,C48,821,639
33670,C48,768,639
33671,C48,768,686
33672,C48,778,593
33673,C48,739,656
33674,C48,804,648
33675,C48,824,665
33676,C48,824,659
33677,C48,944,930
33678,C48,1669,1110
33679,C48,1202,887
33680,C48,933,950
33681,C48,485,822
33682,C48,565,739
33683,C48,476,655
33684,C48,897,804
33685,C48,778,719
33686,C48,742,505
33687,C48,788,477
33688,C48,1486,545
33689,C48,1643,536
33690,C48,760,953
33691,C48,574,1179
33692,C48,538,1196
33693,C48,576,1044
33694,C48,542,920
33695,C48,1169,726
40417,C48,1124,547
40418,C48,951,622
40419,C48,1204,622
40420,C48,953,620
40421,C48,949,574
40422,C48,798,507
40423,C48,659,438
40424,C48,811,508
40425,C48,468,486
40426,C48,887,647
40427,C48,487,500
40428,C48,327,609
40429,C48,596,1090
40430,C48,988,622
40431,C48,730,731
40432,C48,1558,693
40433,C48,1695,806
40434,C48,1306,892
40435,C48,1055,753
40436,C48,802,827
40437,C48,1369,1157
40438,C48,1612,962
40439,C48,1801,986
40440,C48,1899,963
40441,C48,1000,419
40442,C48,1607,366
40443,C48,1989,369
40444,C48,1975,263
40445,C48,1824,164
40446,C48,550,258
40447,C48,647,200
40448,C48,1049,129
40449,C48,1038,278
40450,C48,1653,294
40451,C48,1938,683
40452,C48,891,279
40453,C48,1438,222
40454,C48,1606,298
40455,C48,1647,322
40456,C48,172,940
40457,C48,1048,330
40458,C48,1245,293
40459,C48,1876,200
40460,C48,1910,154
40461,C48,1255,385
