,P1,P10,P11,P2,P3,P4,P5,P6,P7,P8,P9
0,1.0,,,,,,,,,,
1,1.0,,,,,,,,,,
2,1.0,,,,,,,,,,
3,1.5,,,,,,,,,,
4,2.25,,,,,,,,,,
5,2.25,,,,,,,,,,
6,5.062,,,,,,,,,,
7,5.062,,,,,,,,,,
8,5.062,,,,,,,,,,
9,5.062,,,,,,,,,,
10,5.062,,,,,,,,,,
11,11.39,,,,,,,,,,
12,11.39,,,,,,,,,,
13,17.085,,,,,,,,,,
14,17.085,,,,,,,,,,
15,17.085,,,,,,,,,,
16,11.39,,,,,,,,,,
17,11.39,,,,,,,,,,
18,11.39,,,,,,,,,,
19,11.39,,,,,,,,,,
20,11.39,,,,,,,,,,
21,11.39,,,,,,,,,,
22,11.39,,,,,,,,,,
23,11.39,,,,,,,,,,
24,11.39,,,,,,,,,,
25,11.39,,,,,,,,,,
26,11.39,,,,,,,,,,
27,11.39,,,,,,,,,,
28,11.39,,,,,,,,,,
29,11.39,,,,,,,,,,
30,17.085,,,,,,,,,,
31,17.085,,,,,,,,,,
32,17.085,,,,,,,,,,
33,17.085,,,,,,,,,,
34,5.062,,,,,,,,,,
35,5.062,,,,,,,,,,
36,5.062,,,,,,,,,,
37,5.062,,,,,,,,,,
38,5.062,,,,,,,,,,
39,5.062,,,,,,,,,,
40,11.39,,,,,,,,,,
41,25.627,,,,,,,,,,
42,25.627,,,,,,,,,,
43,25.627,,,,,,,,,,
44,25.627,,,,,,,,,,
45,25.627,,,,,,,,,,
46,25.627,,,,,,,,,,
47,25.627,,,,,,,,,,
48,25.627,,,,,,,,,,
49,25.627,,,,,,,,,,
50,11.39,,,,,,,,,,
51,11.39,,,,,,,,,,
52,25.627,,,,,,,,,,
53,38.44,,,,,,,,,,
54,25.627,,,,,,,,,,
55,17.085,,,,,,,,,,
56,11.39,,,,,,,,,,
57,7.593,,,,,,,,,,
58,7.593,,,,,,,,,,
59,7.593,,,,,,,,,,
60,17.085,,,,,,,,,,
61,25.627,,,,,,,,,,
62,25.627,,,,,,,,,,
63,17.085,,,,,,,,,,
64,17.085,,,,,,,,,,
65,17.085,,,,,,,,,,
66,11.39,,,,,,,,,,
67,11.39,,,,,,,,,,
68,11.39,,,,,,,,,,
69,1.0,,,,,,,,,,
70,1.0,,,,,,,,,,
71,1.0,,,,,,,,,,
72,2.25,,,,,,,,,,
73,5.062,,,,,,,,,,
74,7.593,,,,,,,,,,
75,17.083,,,,,,,,,,
