,username,GazeEventDuration
0,P1,92
1,P1,417
2,P1,92
3,P1,658
4,P1,450
5,P1,350
6,P1,225
7,P1,258
8,P1,425
9,P1,350
10,P1,458
11,P1,317
12,P1,367
13,P1,108
14,P1,242
15,P1,258
16,P1,175
17,P1,367
18,P1,192
19,P1,250
20,P1,108
21,P1,217
22,P1,167
23,P1,142
24,P1,242
25,P1,392
26,P1,317
27,P1,333
28,P1,167
29,P1,233
30,P1,258
31,P1,217
32,P1,142
33,P1,642
34,P1,133
35,P1,217
36,P1,467
37,P1,75
38,P1,142
39,P1,625
40,P1,308
41,P1,208
42,P1,150
43,P1,292
44,P1,167
45,P1,108
46,P1,192
47,P1,267
48,P1,208
49,P1,533
50,P1,333
51,P1,867
52,P1,367
53,P1,292
54,P1,133
55,P1,83
56,P1,175
57,P1,83
58,P1,233
59,P1,333
60,P1,467
61,P1,350
62,P1,225
63,P1,117
64,P1,125
65,P1,133
66,P1,175
67,P1,175
68,P1,167
69,P1,175
70,P1,250
71,P1,825
72,P1,292
73,P1,283
74,P1,583
75,P1,200
76,P1,308
77,P1,250
78,P1,117
79,P1,292
80,P1,300
81,P1,250
82,P1,317
83,P1,217
84,P1,192
85,P1,342
86,P1,192
87,P1,125
88,P1,242
89,P1,175
90,P1,133
91,P1,100
92,P1,350
93,P1,125
94,P1,225
95,P1,217
96,P1,158
97,P1,400
98,P1,233
99,P1,750
100,P1,167
101,P1,242
102,P1,225
103,P1,75
104,P1,275
105,P1,142
106,P1,267
107,P1,442
108,P1,217
109,P1,100
110,P1,375
111,P1,175
112,P1,142
113,P1,558
114,P1,200
115,P1,358
116,P1,417
117,P1,233
118,P1,125
119,P1,142
120,P1,267
121,P1,242
122,P1,67
123,P1,75
124,P1,267
125,P1,392
126,P1,300
127,P1,192
128,P1,525
129,P1,417
130,P1,175
131,P1,300
132,P1,208
133,P1,233
134,P1,167
135,P1,417
136,P1,258
137,P1,125
138,P1,325
139,P1,142
140,P1,283
141,P1,175
142,P1,442
143,P1,225
144,P1,208
145,P1,217
146,P1,233
147,P1,233
148,P1,75
149,P1,175
150,P1,183
151,P1,208
152,P1,208
153,P1,175
154,P1,217
155,P1,67
156,P1,183
157,P1,250
158,P1,158
159,P1,317
160,P1,850
161,P1,550
162,P1,525
163,P1,492
164,P1,192
165,P1,167
166,P1,275
167,P1,292
168,P1,108
169,P1,292
170,P1,308
171,P1,642
172,P1,192
173,P1,358
174,P1,192
175,P1,208
176,P1,83
177,P1,200
178,P1,200
179,P1,125
180,P1,217
181,P1,167
182,P1,242
183,P1,192
184,P1,108
185,P1,350
186,P1,342
187,P1,633
188,P1,292
189,P1,233
190,P1,142
191,P1,67
192,P1,217
193,P1,250
194,P1,225
195,P1,250
196,P1,158
197,P1,200
198,P1,192
199,P1,83
200,P1,92
201,P1,117
202,P1,175
203,P1,133
204,P1,350
205,P1,225
206,P1,225
207,P1,783
208,P1,317
209,P1,325
210,P1,408
211,P1,183
212,P1,267
213,P1,283
214,P1,267
215,P1,225
216,P1,317
217,P1,200
218,P1,292
219,P1,308
220,P1,133
221,P1,358
222,P1,267
223,P1,158
224,P1,125
225,P1,208
226,P1,133
227,P1,300
228,P1,150
229,P1,383
230,P1,308
231,P1,358
232,P1,325
233,P1,333
234,P1,208
235,P1,175
236,P1,258
237,P1,342
238,P1,325
239,P1,258
240,P1,317
241,P1,175
242,P1,92
243,P1,75
244,P1,408
245,P1,292
246,P1,192
247,P1,283
248,P1,267
249,P1,133
250,P1,192
251,P1,308
252,P1,408
253,P1,233
254,P1,317
255,P1,325
256,P1,442
257,P1,275
258,P1,317
259,P1,158
260,P1,300
261,P1,108
262,P1,150
263,P1,167
264,P1,133
265,P1,400
266,P1,217
267,P1,325
268,P1,217
269,P1,225
270,P1,317
271,P1,292
272,P1,475
273,P1,183
274,P1,342
275,P1,158
276,P1,142
277,P1,183
278,P1,108
279,P1,133
280,P1,317
281,P1,300
282,P1,442
283,P1,433
284,P1,575
285,P1,200
286,P1,200
287,P1,258
288,P1,475
289,P1,317
290,P1,175
291,P1,183
292,P1,542
293,P1,200
294,P1,333
295,P1,375
296,P1,333
297,P1,483
298,P1,167
299,P1,192
300,P1,292
301,P1,258
302,P1,167
303,P1,125
304,P1,275
305,P1,250
306,P1,208
307,P1,233
308,P1,225
309,P1,425
310,P1,150
311,P1,117
312,P1,192
313,P1,192
314,P1,192
315,P1,700
316,P1,150
317,P1,125
318,P1,233
319,P1,233
320,P1,133
321,P1,250
322,P1,92
323,P1,67
324,P1,67
325,P1,83
326,P1,683
327,P1,300
328,P1,525
329,P1,225
330,P1,92
331,P1,250
332,P1,275
333,P1,208
334,P1,333
335,P1,192
336,P1,258
337,P1,225
338,P1,467
339,P1,250
340,P1,442
341,P1,433
342,P1,358
343,P1,425
344,P1,267
345,P1,258
346,P1,267
347,P1,242
348,P1,150
349,P1,283
350,P1,150
351,P1,275
352,P1,175
353,P1,142
354,P1,183
355,P1,158
356,P1,167
357,P1,300
358,P1,183
359,P1,117
360,P1,242
361,P1,600
362,P1,442
363,P1,233
364,P1,267
365,P1,292
366,P1,508
367,P1,242
368,P1,258
369,P1,125
370,P1,125
371,P1,267
372,P1,217
373,P1,292
374,P1,250
375,P1,267
376,P1,133
377,P1,217
378,P1,400
379,P1,175
380,P1,242
381,P1,367
382,P1,175
383,P1,408
384,P1,433
385,P1,350
386,P1,233
387,P1,267
388,P1,625
389,P1,192
390,P1,492
391,P1,233
392,P1,208
393,P1,317
394,P1,117
395,P1,75
396,P1,167
397,P1,200
398,P1,142
399,P1,425
400,P1,217
401,P1,200
402,P1,300
403,P1,792
404,P1,325
405,P1,350
406,P1,242
407,P1,217
408,P1,217
409,P1,342
410,P1,92
411,P1,167
412,P1,367
413,P1,100
414,P1,225
415,P1,200
416,P1,225
417,P1,117
418,P1,208
419,P1,125
420,P1,283
421,P1,275
422,P1,233
423,P1,242
424,P1,342
425,P1,183
426,P1,83
427,P1,250
428,P1,133
429,P1,117
430,P1,108
431,P1,200
432,P1,242
433,P1,300
434,P1,408
435,P1,158
436,P1,183
437,P1,142
438,P1,183
439,P1,367
440,P1,175
441,P1,225
442,P1,250
443,P1,333
444,P1,317
445,P1,117
446,P1,125
447,P1,250
448,P1,667
449,P1,200
450,P1,342
451,P1,300
452,P1,142
453,P1,167
454,P1,217
455,P1,275
456,P1,192
457,P1,225
458,P1,1000
459,P1,208
460,P1,725
461,P1,133
462,P1,167
463,P1,242
464,P1,117
465,P1,508
466,P1,258
467,P1,125
468,P1,142
469,P1,142
470,P1,708
471,P1,292
472,P1,467
473,P1,250
474,P1,192
475,P1,83
476,P1,292
477,P1,217
478,P1,283
479,P1,292
480,P1,200
481,P1,367
482,P1,225
483,P1,283
484,P1,342
485,P1,117
486,P1,383
487,P1,258
488,P1,275
489,P1,158
490,P1,300
491,P1,283
492,P1,283
493,P1,175
494,P1,92
495,P1,225
496,P1,217
497,P1,175
498,P1,442
499,P1,283
500,P1,325
501,P1,108
502,P1,83
503,P1,142
504,P1,342
505,P1,242
506,P1,325
507,P1,167
508,P1,258
509,P1,108
510,P1,150
511,P1,167
512,P1,92
513,P1,158
514,P1,350
515,P1,333
516,P1,308
517,P1,242
518,P1,325
519,P1,567
520,P1,250
521,P1,283
522,P1,167
523,P1,83
524,P1,242
525,P1,175
526,P1,133
527,P1,400
528,P1,208
